Epoch	Loss	Accuracy
1	5.4355	0.0055
2	5.4229	0.0059
3	5.4132	0.0058
4	5.4094	0.0061
5	5.4043	0.0067
6	5.4008	0.0071
7	5.3957	0.0068
8	5.3907	0.0071
9	5.4011	0.0053
10	5.3732	0.0066
11	5.3588	0.0069
12	5.3508	0.0069
13	5.3438	0.0068
14	5.341	0.0072
15	5.3384	0.0079
16	5.3361	0.0076
17	5.3398	0.0066
18	5.3259	0.0076
19	5.318	0.0081
20	5.311	0.0091
21	5.3053	0.0099
22	5.2984	0.0109
23	5.2954	0.0113
24	5.2912	0.0122
25	5.2983	0.0112
26	5.2815	0.0136
27	5.2698	0.0152
28	5.2559	0.0172
29	5.2386	0.0193
30	5.228	0.0199
31	5.2171	0.0209
32	5.2047	0.0225
33	5.2094	0.0227
34	5.1637	0.0307
35	5.1297	0.0357
36	5.0988	0.0403
37	5.0563	0.0463
38	5.0303	0.0503
39	5.0057	0.0546
40	4.984	0.0568
41	5.0103	0.0548
42	4.9209	0.0709
43	4.8593	0.0797
44	4.8068	0.0899
45	4.7237	0.1077
46	4.6754	0.1177
47	4.6309	0.1279
48	4.5846	0.1404
49	4.6588	0.1198
50	4.5071	0.1529
51	4.4104	0.1771
52	4.3231	0.2021
53	4.1869	0.2463
54	4.1134	0.2721
55	4.0431	0.3003
56	3.9768	0.326
57	4.0943	0.2634
58	3.8454	0.3343
59	3.6968	0.3802
60	3.5692	0.4235
61	3.3548	0.4976
62	3.2444	0.5348
63	3.1404	0.5721
64	3.0427	0.6062
65	3.0294	0.5156
66	2.7152	0.5645
67	2.5218	0.5938
68	2.3639	0.6182
69	2.0621	0.6567
70	1.9106	0.6807
71	1.7606	0.7022
72	1.6001	0.7282
73	1.4438	0.7339
74	1.2381	0.7724
75	1.0178	0.8186
76	0.8164	0.8597
77	0.4738	0.9121
78	0.5897	0.8691
79	0.6476	0.8468
80	0.5299	0.8722
81	0.3613	0.9068
82	0.4015	0.8924
83	0.3685	0.8995
84	0.3126	0.9137
85	0.2138	0.9374
86	0.1612	0.9389
87	0.1367	0.94
88	0.1081	0.9378
