Epoch	Loss	Accuracy
1	5.2914	0.0066
2	5.1774	0.0143
3	5.0202	0.0241
4	4.8808	0.0355
5	4.7671	0.0453
6	4.6652	0.0566
7	4.5772	0.0657
8	4.5005	0.0748
9	4.4315	0.0832
10	4.3676	0.0906
11	4.3149	0.096
12	4.2654	0.1036
13	4.2207	0.1091
14	4.1808	0.1137
15	4.1444	0.1189
16	4.1038	0.1245
17	4.0698	0.1282
18	4.029	0.1344
19	3.9993	0.1378
20	3.962	0.1429
21	3.9329	0.1484
22	3.9032	0.1496
23	3.8666	0.1557
24	3.8325	0.1588
25	3.8047	0.162
26	3.773	0.1673
27	3.749	0.1692
28	3.7214	0.174
29	3.6874	0.1784
30	3.6637	0.1832
31	3.6388	0.1868
32	3.6096	0.1911
33	3.579	0.1952
34	3.5668	0.1961
35	3.5411	0.2011
36	3.5246	0.2021
37	3.4995	0.2053
38	3.4769	0.2094
39	3.456	0.2132
40	3.4306	0.2166
41	3.4087	0.2206
42	3.4009	0.22
43	3.3783	0.225
44	3.3566	0.2281
45	3.349	0.231
46	3.3359	0.2318
47	3.3079	0.2368
48	3.2915	0.2375
49	3.2788	0.2412
50	3.2672	0.2421
51	3.2535	0.2446
52	3.2279	0.2502
53	3.2228	0.2483
54	3.208	0.2502
55	3.1915	0.2543
56	3.1747	0.257
57	3.1601	0.2602
58	3.1472	0.262
59	3.1378	0.2628
60	3.1252	0.2649
61	3.1094	0.2681
62	3.0978	0.2702
63	3.0897	0.2721
64	3.0711	0.2745
65	3.0733	0.2751
66	3.0611	0.2751
67	3.0435	0.2811
68	3.031	0.2812
69	3.0106	0.2866
70	3.0095	0.2878
71	2.9949	0.2874
72	2.9853	0.2897
73	2.9807	0.2907
74	2.9644	0.2922
75	2.9654	0.2918
76	2.9363	0.2976
77	2.9337	0.2988
78	2.936	0.2979
79	2.9195	0.3004
80	2.9132	0.3039
81	2.8963	0.305
82	2.8957	0.3054
83	2.8784	0.3088
84	2.8755	0.3074
85	2.8641	0.3118
86	2.8527	0.3136
87	2.853	0.3135
88	2.8421	0.315
89	2.8312	0.3199
90	2.8163	0.3216
91	2.8196	0.3211
92	2.8029	0.3205
93	2.808	0.3225
94	2.7864	0.3242
95	2.7849	0.3271
96	2.7769	0.3263
97	2.7716	0.328
98	2.7616	0.3284
99	2.7588	0.3299
100	2.7563	0.3287
101	2.7358	0.3336
102	2.7363	0.3334
103	2.7369	0.3344
104	2.7318	0.3349
105	2.7269	0.3363
106	2.7113	0.3406
107	2.7068	0.338
108	2.7053	0.3404
109	2.6915	0.343
110	2.697	0.3411
111	2.6814	0.346
112	2.6899	0.3427
113	2.677	0.3452
114	2.6668	0.3482
115	2.6666	0.3455
116	2.6548	0.3506
117	2.6538	0.3522
118	2.6584	0.3493
119	2.6397	0.3519
120	2.6295	0.3545
121	2.6327	0.3563
122	2.6304	0.3549
123	2.615	0.3559
124	2.6202	0.3558
125	2.6186	0.3551
126	2.6054	0.3583
127	2.6179	0.3573
128	2.592	0.3609
129	2.5901	0.3638
130	2.5867	0.3614
131	2.5881	0.3632
132	2.5831	0.3623
133	2.5788	0.3636
134	2.5772	0.3648
135	2.574	0.3661
136	2.5697	0.3646
137	2.5601	0.3666
138	2.5632	0.3667
139	2.5503	0.3685
140	2.54	0.372
141	2.5387	0.3702
142	2.5455	0.3704
143	2.536	0.3739
144	2.5282	0.3733
145	2.5361	0.3724
146	2.5311	0.3741
147	2.5182	0.3761
148	2.5194	0.3756
149	2.5125	0.3777
150	2.5096	0.3763
151	2.5122	0.3777
152	2.5061	0.3779
153	2.5049	0.3785
154	2.4968	0.3804
155	2.4912	0.3808
156	2.4904	0.3839
157	2.4842	0.3836
158	2.4784	0.384
159	2.4847	0.3821
160	2.4801	0.3828
161	2.4701	0.386
162	2.4676	0.3859
163	2.4783	0.385
164	2.4689	0.3853
165	2.4652	0.3857
166	2.4611	0.3869
167	2.4519	0.3876
168	2.4576	0.387
169	2.4544	0.391
170	2.4417	0.3928
171	2.4456	0.3886
172	2.4427	0.3893
173	2.4355	0.3918
174	2.4328	0.3926
175	2.4481	0.39
176	2.4263	0.3952
177	2.4264	0.3957
178	2.4375	0.3955
179	2.4254	0.3951
180	2.423	0.3944
181	2.4301	0.3931
182	2.4172	0.3976
183	2.4043	0.3981
184	2.4033	0.3989
185	2.409	0.3961
186	2.3971	0.3985
187	2.4041	0.399
188	2.3986	0.4002
189	2.4033	0.3997
190	2.3862	0.4022
191	2.3975	0.4014
192	2.3898	0.4022
193	2.3732	0.4035
194	2.3767	0.4048
195	2.3871	0.4029
196	2.3694	0.4057
197	2.3664	0.4051
198	2.3737	0.4047
199	2.3744	0.4029
200	2.3681	0.4047
